model_type,model_path,pretrained,epochs,seed,learning_rate,dropout,batch_size,num_workers,total_train_time,trained_epochs,train_loss,train_acc,val_loss,val_acc
TransferLearning,models\TransferLearning_model_30122022_2220,True,30,42,0.001,0.1,2,4,90.96455482333332,19,0.0510301358972289,0.9823604060913704,0.0973670879411074,0.9741541353383458
TransferLearning,models\TransferLearning_model_31122022_0010,True,30,42,0.001,0.2,2,4,96.27012743666668,20,0.0517981403802043,0.9827411167512692,0.0949171762241247,0.9708646616541352
TransferLearning,models\TransferLearning_model_31122022_0205,True,30,42,0.01,0.1,2,4,480.324548815,9,0.1388886979619905,0.95748730964467,0.1529265865345767,0.956296992481203
TransferLearning,models\TransferLearning_model_31122022_1053,True,30,42,0.01,0.2,2,4,77.29479359166665,16,0.0900019031712538,0.9699238578680203,0.13519886033514525,0.9581766917293233
